# dst	src	sha256 (held-out scripts: S10-Housekeeping, S13-Charades, S2-Where_is_X, S5-Workout, S6-Dance)
Nymeria_LSO_train/users/adriana_gonzalez/act0.csv	Nymeria_Dataset/users/adriana_gonzalez/act0.csv	4e52ce2ba8400d5025072e6daa06a34d9be3787288df326a1635e1fa5dac10a2
Nymeria_LSO_train/users/adriana_gonzalez/act1.csv	Nymeria_Dataset/users/adriana_gonzalez/act1.csv	c82258e3fe82402f5416179966093671fe6bf0e27f704d1f93316dc7aab4ee8b
Nymeria_LSO_train/users/adriana_gonzalez/act4.csv	Nymeria_Dataset/users/adriana_gonzalez/act4.csv	3080176d2aeed833b1bb954b01ff5ba4212d3ec61753bade36e81881aee505af
Nymeria_LSO_train/users/aimee_davis/act0.csv	Nymeria_Dataset/users/aimee_davis/act0.csv	ee5fd0e7a0985ac1d0dbb2ce5e68385152b47fda0eb1be4b2897e7848a12526f
Nymeria_LSO_train/users/aimee_davis/act2.csv	Nymeria_Dataset/users/aimee_davis/act2.csv	bc9ff032be05da056a0e3736a6198425e09f7fbee9b032618c577cf1c71e6541
Nymeria_LSO_train/users/aimee_davis/act4.csv	Nymeria_Dataset/users/aimee_davis/act4.csv	8e861d041ac98dbd7898b0f5edd5e27c3e59929c5250a51d6edbd1d38a2d4051
Nymeria_LSO_train/users/alan_burns/act1.csv	Nymeria_Dataset/users/alan_burns/act1.csv	003d93a685de2e8c2ef0780079e266c95a4df42621fbfbcaa8e79e5d05e74993
Nymeria_LSO_train/users/alan_burns/act2.csv	Nymeria_Dataset/users/alan_burns/act2.csv	fb791d5ab209bff523c48f28382683b71e47bd5263fec1a8d9666e27b8ff0f56
Nymeria_LSO_train/users/alan_burns/act3.csv	Nymeria_Dataset/users/alan_burns/act3.csv	c52b8b3f0a2a30327f7bcb33684a3e0ea10cb86182986c364f068f3ae84f4a2d
Nymeria_LSO_train/users/alan_burns/act4.csv	Nymeria_Dataset/users/alan_burns/act4.csv	217cc46bfef4dd8d73c898fc3b4fe69cfde6c58c640b75f0b7fed5c9ee998c4a
Nymeria_LSO_train/users/albert_hammond/act1.csv	Nymeria_Dataset/users/albert_hammond/act1.csv	ff8ff57c1f8f8263e16c3f82771863427ef34e83758a797363525c659a7c9f16
Nymeria_LSO_train/users/albert_hammond/act3.csv	Nymeria_Dataset/users/albert_hammond/act3.csv	b5d743e66c7bd5f78707be75335c15bdef63a80f90bfd19d36a3a6e2afb1710b
Nymeria_LSO_train/users/alec_meza/act0.csv	Nymeria_Dataset/users/alec_meza/act0.csv	768a259df5a29a626df754b74f02a307119f7fa0bd6616ccbc7855977b3f0cd9
Nymeria_LSO_train/users/alec_meza/act1.csv	Nymeria_Dataset/users/alec_meza/act1.csv	dc1b05a66a6eacdb2f6bff484c2bed75e73843d52d2034f9c5b76199c2f93a7c
Nymeria_LSO_train/users/alec_meza/act2.csv	Nymeria_Dataset/users/alec_meza/act2.csv	c20f1a0122b415c5ec87cd0f7ad0243a173007cf0626b883e47bd104de3333c6
Nymeria_LSO_train/users/alec_meza/act3.csv	Nymeria_Dataset/users/alec_meza/act3.csv	0cd57c61f40334109c45ce2bebddb139e8e38d2a1fe3963efa3d19817694303f
Nymeria_LSO_train/users/alec_meza/act4.csv	Nymeria_Dataset/users/alec_meza/act4.csv	4fb93a6c82639e822012b0920907f434215d96969d4ce6f04c801822898afc5b
Nymeria_LSO_train/users/alejandra_reynolds/act1.csv	Nymeria_Dataset/users/alejandra_reynolds/act1.csv	1921981ed6f3949e77e862cc16b711a287b0d0af2832866f849e3054a9687d71
Nymeria_LSO_train/users/alejandra_reynolds/act4.csv	Nymeria_Dataset/users/alejandra_reynolds/act4.csv	7f896b623d035d1812b1a5f17d65087879408333b6cac24f1d05edcc8a93556e
Nymeria_LSO_train/users/alexandria_griffith/act0.csv	Nymeria_Dataset/users/alexandria_griffith/act0.csv	4b0acef719d31dc1f29beebcec6b78f311ab858e463ba31aea0e4cb32f7e5f24
Nymeria_LSO_train/users/alexandria_griffith/act2.csv	Nymeria_Dataset/users/alexandria_griffith/act2.csv	86a7bfe1e071df9566ed8c5a009a9a5258063fb5eb1310805f7241476d93c826
Nymeria_LSO_train/users/alexis_hernandez/act0.csv	Nymeria_Dataset/users/alexis_hernandez/act0.csv	5a6d7e5f5468ddae6df6c475d5c602c6e0100d8f88ea159001f9ca15323c565f
Nymeria_LSO_train/users/alexis_hernandez/act1.csv	Nymeria_Dataset/users/alexis_hernandez/act1.csv	d918c7f8cc8ca1324f3900390c851820cf115696be750b155c9c5780ac744ed3
Nymeria_LSO_train/users/alexis_hernandez/act3.csv	Nymeria_Dataset/users/alexis_hernandez/act3.csv	adc3f28c759ffd7ccadf12267021df9fc560d1de339ba5c9ec3213a5a9aaa9ea
Nymeria_LSO_train/users/alexis_wyatt/act0.csv	Nymeria_Dataset/users/alexis_wyatt/act0.csv	1c842ae253f82df7509bd8c58f2583676cd3c5131112188914071c013d8c5f06
Nymeria_LSO_train/users/alexis_wyatt/act1.csv	Nymeria_Dataset/users/alexis_wyatt/act1.csv	d98c022d0cdad31b3056564539c5f7559bf30870329eef7faa5919eee43752c7
Nymeria_LSO_train/users/alexis_wyatt/act2.csv	Nymeria_Dataset/users/alexis_wyatt/act2.csv	d7fd4e0ddd4bc43a87bc163028016074c5459e56ac600aafbf6e55dd6a2d9d8b
Nymeria_LSO_train/users/alexis_wyatt/act3.csv	Nymeria_Dataset/users/alexis_wyatt/act3.csv	9db91d1081d743b3f94aaadde8671759341a58773d5267d15ea01cee3708cc98
Nymeria_LSO_train/users/alexis_wyatt/act4.csv	Nymeria_Dataset/users/alexis_wyatt/act4.csv	417e8af9d4b168d4843067aa6ff901517a0363269e629721923571f99412b03b
Nymeria_LSO_train/users/alexis_wyatt/act5.csv	Nymeria_Dataset/users/alexis_wyatt/act5.csv	1aee74dfc04603ef2ffe026f7f634f96dd1805ecc22fd7b269d35e861f6c1c4b
Nymeria_LSO_train/users/alexis_wyatt/act6.csv	Nymeria_Dataset/users/alexis_wyatt/act6.csv	62d5976efb71817a8e4924d52c3cd52b4a78df3fabf0db596628491b61bbc597
Nymeria_LSO_train/users/alicia_drake/act1.csv	Nymeria_Dataset/users/alicia_drake/act1.csv	792c4635a396b4d376203b446fc37b7d18142f283c92cb2f670189a865548247
Nymeria_LSO_train/users/alicia_drake/act2.csv	Nymeria_Dataset/users/alicia_drake/act2.csv	f07e080dd4721aab436e9deac504347cb4f03b399a0d61182b5f47bcdf5992fc
Nymeria_LSO_train/users/alicia_drake/act3.csv	Nymeria_Dataset/users/alicia_drake/act3.csv	a3f3b5c52edeba3c7c363048453a09481b618253f2dfa33139fafec040e87e13
Nymeria_LSO_train/users/alicia_drake/act4.csv	Nymeria_Dataset/users/alicia_drake/act4.csv	1cb92c47b84e456c472856ec22e1fa4df12f8002e56d8288c77a0de675980859
Nymeria_LSO_train/users/alison_carter/act0.csv	Nymeria_Dataset/users/alison_carter/act0.csv	673c97c4ff1283c9a7429eceec976098412ab0cfeca2eb39b077debb7b85bcd0
Nymeria_LSO_train/users/alison_carter/act1.csv	Nymeria_Dataset/users/alison_carter/act1.csv	23bf0618003b1571a129c1d7b94a5aba3aed77f815e1088f974ff79139165c0d
Nymeria_LSO_train/users/alison_carter/act2.csv	Nymeria_Dataset/users/alison_carter/act2.csv	d4b3f47626a2150eaadaa11f261729ceb7a1bccbcdacd4303f68e9f6672aadd4
Nymeria_LSO_train/users/alison_riddle/act0.csv	Nymeria_Dataset/users/alison_riddle/act0.csv	416d74b115a4c3fbc41d047bd42b763c4b1d91110a9697039121730363e74c98
Nymeria_LSO_train/users/alison_riddle/act1.csv	Nymeria_Dataset/users/alison_riddle/act1.csv	2f302cb5cf287459039665ca237ed3c5701a9aa38cc1a36f2ef4deabc5e74582
Nymeria_LSO_train/users/alison_riddle/act3.csv	Nymeria_Dataset/users/alison_riddle/act3.csv	5068e651c9f2c89cac80b248cc5c7fe4a499192cda4f33ae2fa32a7461c00e00
Nymeria_LSO_train/users/allen_evans/act1.csv	Nymeria_Dataset/users/allen_evans/act1.csv	348ad0912e0cfa8f29634f1a69036278c6048ae5cefd8c4c29e705b6524c8320
Nymeria_LSO_train/users/allen_evans/act3.csv	Nymeria_Dataset/users/allen_evans/act3.csv	8004c851ddfb701bccb97eb5f279aa66ba7159039b83727493c90bd91577f4f0
Nymeria_LSO_train/users/allen_evans/act4.csv	Nymeria_Dataset/users/allen_evans/act4.csv	8b55eb53fb8e3e68568254321b89a077c01039feea933a6eefae265e39f84651
Nymeria_LSO_train/users/allison_harris/act3.csv	Nymeria_Dataset/users/allison_harris/act3.csv	30f54cf409c766fd2c49378b2e29c4917e3869ef54c18b52b024b592cd1d3151
Nymeria_LSO_train/users/amanda_rodgers/act1.csv	Nymeria_Dataset/users/amanda_rodgers/act1.csv	3611339a6851244ea8fa568c771d456183796aafb1504ede32510baa12760d5c
Nymeria_LSO_train/users/amanda_rodgers/act3.csv	Nymeria_Dataset/users/amanda_rodgers/act3.csv	ed645484f736ee7bfa947d5eb95960c5324748f9501c52dc23890a7c0a406d5a
Nymeria_LSO_train/users/amanda_rodgers/act4.csv	Nymeria_Dataset/users/amanda_rodgers/act4.csv	c08d6f2140a815306a887fd567a85c0192576b5012828d28dd406a8bcf1e99c6
Nymeria_LSO_train/users/amanda_wong/act0.csv	Nymeria_Dataset/users/amanda_wong/act0.csv	85dcdd8ab3a2e243c7e3e450690d890a145b0c864e12dc51b969796835d74ed5
Nymeria_LSO_train/users/amanda_wong/act1.csv	Nymeria_Dataset/users/amanda_wong/act1.csv	05f23fe96b1b0833932df9b314a52d9d27e6c014b2bdc26f5a75b123a4893b13
Nymeria_LSO_train/users/amanda_wong/act2.csv	Nymeria_Dataset/users/amanda_wong/act2.csv	c432b61499b25562a8866fdff5c486d3f3c6aad569fc9f41d5fa4f538d36929f
Nymeria_LSO_train/users/amanda_wong/act3.csv	Nymeria_Dataset/users/amanda_wong/act3.csv	ed8093641030cefc022291dfca0962e97f016308282a432806626a4a9a89a507
Nymeria_LSO_train/users/amanda_wong/act4.csv	Nymeria_Dataset/users/amanda_wong/act4.csv	5c3bd6b696709118db2dba3142e4bcbb42f5065de95e50dc25683e9bb3cca104
Nymeria_LSO_train/users/amanda_wong/act5.csv	Nymeria_Dataset/users/amanda_wong/act5.csv	55d2f1a64a0fa5dca1b58f50e20ad99e86029b7f40f1ffe985665d02667b6f5c
Nymeria_LSO_train/users/amanda_wong/act7.csv	Nymeria_Dataset/users/amanda_wong/act7.csv	5f21ebec6a2a9de00ed0724bb111909604e68267678411694cee61c7d0cafa3e
Nymeria_LSO_train/users/amy_crawford/act0.csv	Nymeria_Dataset/users/amy_crawford/act0.csv	9fde00fe4c097c5dc7cd6de9f0349245c9f005b22a53057f78acc8ee1fb41cac
Nymeria_LSO_train/users/amy_crawford/act1.csv	Nymeria_Dataset/users/amy_crawford/act1.csv	44b0cbc5a52960952d0b5e3b74905ac8a69e00c98c916dda26d8e4d51f3ec522
Nymeria_LSO_train/users/amy_crawford/act2.csv	Nymeria_Dataset/users/amy_crawford/act2.csv	2a1b6e40cb16b0dccc757c87dee0cc5de978134c8c5450044821dd0dc7408946
Nymeria_LSO_train/users/amy_padilla/act2.csv	Nymeria_Dataset/users/amy_padilla/act2.csv	7718d111fc1403aa0e9c46a6d2f3d6e5a9f26bcc3af748892b4dbb5c6c05e272
Nymeria_LSO_train/users/amy_padilla/act4.csv	Nymeria_Dataset/users/amy_padilla/act4.csv	f56b71f9015661e3e1caee2e2f8d9b6a4d58e09486c1497bd4bd22b4a8ebbbb2
Nymeria_LSO_train/users/amy_rosales/act1.csv	Nymeria_Dataset/users/amy_rosales/act1.csv	8c6ec80c71b6659079b847b96465057a8d519e780d3cac7a429f7536215c77cd
Nymeria_LSO_train/users/amy_rosales/act2.csv	Nymeria_Dataset/users/amy_rosales/act2.csv	4c3fd5832bdf9598c4d2e0878193791f71def0bca0743697895d050345e153ab
Nymeria_LSO_train/users/amy_rosales/act3.csv	Nymeria_Dataset/users/amy_rosales/act3.csv	26d299471064ac301209a60cfe0dcbc90b5cb945456be48dcbc95a07355d6ee3
Nymeria_LSO_train/users/amy_rosales/act4.csv	Nymeria_Dataset/users/amy_rosales/act4.csv	7caabdaf17ec0d8b568b3ae8684406cbeff65b4f262fc74a04cded14370fe402
Nymeria_LSO_train/users/amy_snow/act1.csv	Nymeria_Dataset/users/amy_snow/act1.csv	e4f15a446d8c94aa9f8d73d9e00696069a4989fed8dac3b0653284108203401e
Nymeria_LSO_train/users/amy_snow/act3.csv	Nymeria_Dataset/users/amy_snow/act3.csv	dd503e460fab81fa985274e295c28ca904bfa17a3b41984b6d2ca2bb4f0fd272
Nymeria_LSO_train/users/amy_snow/act4.csv	Nymeria_Dataset/users/amy_snow/act4.csv	7d06b14f8d6855008f4ac54d0c4ae85db10276e38da09a5ec16dc7c9ccad7f67
Nymeria_LSO_train/users/andrew_johnson/act0.csv	Nymeria_Dataset/users/andrew_johnson/act0.csv	bdf783cc3035d88ecd4a761baf41300ca1843075ff8df20b9505df9bdac603b3
Nymeria_LSO_train/users/andrew_johnson/act1.csv	Nymeria_Dataset/users/andrew_johnson/act1.csv	e0a5393dea2cc1d63d0bdf06657d0d8784dbe7af21ea952385dbfcb8cbab1ff1
Nymeria_LSO_train/users/andrew_johnson/act4.csv	Nymeria_Dataset/users/andrew_johnson/act4.csv	38fde45fe725fdf5c8abcaa6ceba893926928f2cdb8655daf19fe185960e7806
Nymeria_LSO_train/users/andrew_johnson/act6.csv	Nymeria_Dataset/users/andrew_johnson/act6.csv	412cbb644adb878c9dba43596b636d6f920943e1563f3a6a2d52916cac9cfaa5
Nymeria_LSO_train/users/andrew_taylor/act0.csv	Nymeria_Dataset/users/andrew_taylor/act0.csv	6b47db23633c268dff6ca58dbba1938da88a2528318a41439348f1619676fc5a
Nymeria_LSO_train/users/andrew_taylor/act1.csv	Nymeria_Dataset/users/andrew_taylor/act1.csv	f956a3226a274cb800841ff8359abb7e6ec2ccc017222e125dee65096ea0f5c7
Nymeria_LSO_train/users/andrew_taylor/act2.csv	Nymeria_Dataset/users/andrew_taylor/act2.csv	3e1a70d7b67667a98d252bffb785e6b1cfea689950257fa6a2e63c37390fed7a
Nymeria_LSO_train/users/andrew_taylor/act3.csv	Nymeria_Dataset/users/andrew_taylor/act3.csv	42ffceafbfbec2c314df2b00dfb78c55227e27ae2e336078ff80b5b0d749e712
Nymeria_LSO_train/users/andrew_taylor/act4.csv	Nymeria_Dataset/users/andrew_taylor/act4.csv	dd887db7840a3f78c3ff91dd4bca03c124f7827d69a789f7066e9c972dcdf4b3
Nymeria_LSO_train/users/angel_roberts/act0.csv	Nymeria_Dataset/users/angel_roberts/act0.csv	55a98ca3b2bed1900006b56b872db537db79c502014cc83f265f187d9d9b9457
